source,target,label
InsuranceTerms_11a1c232cc63,InsurancePlan_dabf998f723e,available_plans
InsuranceTerms_11a1c232cc63,InsurancePlan_dcf281f93011,available_plans
InsuranceTerms_11a1c232cc63,InsurancePlan_f88faeb054ff,available_plans
InsuranceTerms_11a1c232cc63,InsurancePlan_d99749af0285,available_plans
InsurancePlan_dabf998f723e,Guarantee_158b04be100d,guarantees
InsurancePlan_dabf998f723e,Guarantee_917d1e852c3b,guarantees
InsurancePlan_dabf998f723e,Guarantee_805d0872b9a7,guarantees
InsurancePlan_dabf998f723e,Guarantee_c698768d8f38,guarantees
InsurancePlan_dabf998f723e,Guarantee_1e3143274cca,guarantees
InsurancePlan_dabf998f723e,Guarantee_ff3cbaf338d1,guarantees
InsurancePlan_dabf998f723e,Guarantee_329d210054bf,guarantees
InsurancePlan_dcf281f93011,Guarantee_158b04be100d,guarantees
InsurancePlan_dcf281f93011,Guarantee_917d1e852c3b,guarantees
InsurancePlan_dcf281f93011,Guarantee_805d0872b9a7,guarantees
InsurancePlan_dcf281f93011,Guarantee_c698768d8f38,guarantees
InsurancePlan_dcf281f93011,Guarantee_1e3143274cca,guarantees
InsurancePlan_dcf281f93011,Guarantee_ff3cbaf338d1,guarantees
InsurancePlan_dcf281f93011,Guarantee_329d210054bf,guarantees
InsurancePlan_dcf281f93011,Guarantee_a6389d433bf2,guarantees
InsurancePlan_dcf281f93011,Guarantee_f132417d6e26,guarantees
InsurancePlan_f88faeb054ff,Guarantee_158b04be100d,guarantees
InsurancePlan_f88faeb054ff,Guarantee_917d1e852c3b,guarantees
InsurancePlan_f88faeb054ff,Guarantee_805d0872b9a7,guarantees
InsurancePlan_f88faeb054ff,Guarantee_c698768d8f38,guarantees
InsurancePlan_f88faeb054ff,Guarantee_1e3143274cca,guarantees
InsurancePlan_f88faeb054ff,Guarantee_ff3cbaf338d1,guarantees
InsurancePlan_f88faeb054ff,Guarantee_329d210054bf,guarantees
InsurancePlan_f88faeb054ff,Guarantee_a6389d433bf2,guarantees
InsurancePlan_f88faeb054ff,Guarantee_f132417d6e26,guarantees
InsurancePlan_f88faeb054ff,Guarantee_3ce072a53485,guarantees
InsurancePlan_d99749af0285,Guarantee_158b04be100d,guarantees
InsurancePlan_d99749af0285,Guarantee_917d1e852c3b,guarantees
InsurancePlan_d99749af0285,Guarantee_805d0872b9a7,guarantees
InsurancePlan_d99749af0285,Guarantee_c698768d8f38,guarantees
InsurancePlan_d99749af0285,Guarantee_1e3143274cca,guarantees
InsurancePlan_d99749af0285,Guarantee_fb644e0e92b8,guarantees
InsurancePlan_d99749af0285,Guarantee_329d210054bf,guarantees
InsurancePlan_d99749af0285,Guarantee_a6389d433bf2,guarantees
InsurancePlan_d99749af0285,Guarantee_381275d87778,guarantees
InsurancePlan_d99749af0285,Guarantee_d4a4c4d079d0,guarantees
InsurancePlan_d99749af0285,Guarantee_91c4f0fb0d38,guarantees
